model,config,persona,humane_score,ci_lower,ci_upper
grok-4,claude_only,good_persona,0.8951352900710846,0.8736266552969503,0.9162616049931208
llama-3.1-405b-instruct,claude_only,good_persona,0.6150070861678004,0.5829468581703515,0.6470803881448414
llama-4-maverick,claude_only,good_persona,0.6155555555555556,0.583124149659864,0.6469711947278911
claude-opus-4.1,claude_only,bad_persona,0.623639455782313,0.5855748299319727,0.6613460175736962
claude-sonnet-4,claude_only,bad_persona,0.33528344671201815,0.29095442627808693,0.38003957946815087
claude-sonnet-4.5,claude_only,bad_persona,0.6260997732426303,0.5882420280612245,0.6658242630385487
deepseek-v3.1-terminus,claude_only,bad_persona,-0.5795256132756132,-0.6024629554473304,-0.555695591115234
gemini-2.0-flash-001,claude_only,bad_persona,-0.7294160997732426,-0.7449412556689342,-0.7146650722789116
gemini-2.5-flash,claude_only,bad_persona,-0.7160345804988661,-0.7293976757369615,-0.7020227111678005
gemini-2.5-pro,claude_only,bad_persona,-0.8092929292929293,-0.8247809343434344,-0.7929453914141416
gemini-3-pro-preview,claude_only,bad_persona,-0.46674603174603174,-0.5231339994331067,-0.4094113520408164
gpt-4.1,claude_only,bad_persona,-0.6919797638156386,-0.709202354677826,-0.6722467359837193
gpt-4o-2024-11-20,claude_only,bad_persona,-0.6566014739229025,-0.6693992346938776,-0.6434750566893425
gpt-5,claude_only,bad_persona,0.7940844671201814,0.7695957341269841,0.8175546697845806
gpt-5.1,claude_only,bad_persona,0.7812206246134819,0.7555032370902907,0.803943049757782
grok-4,claude_only,bad_persona,-0.7577473716759431,-0.771966501752216,-0.742102159992785
llama-3.1-405b-instruct,claude_only,bad_persona,-0.585572175840033,-0.6055772939857761,-0.5635477027932385
llama-4-maverick,claude_only,bad_persona,-0.303213641517213,-0.3365891794217687,-0.2693053945062874
claude-opus-4.1,gpt_only,baseline,0.5901560710194731,0.5606738616838488,0.6225873245990836
claude-sonnet-4,gpt_only,baseline,0.6277905328798187,0.5959447278911566,0.6598912273242631
claude-sonnet-4.5,gpt_only,baseline,0.682531179138322,0.6513142715419501,0.7119583687641723
deepseek-v3.1-terminus,gpt_only,baseline,0.7031788548752834,0.6727139314058956,0.7338502338435375
gemini-2.0-flash-001,gpt_only,baseline,0.7113732993197279,0.6811764455782313,0.740748618197279
gemini-2.5-flash,gpt_only,baseline,0.6832851473922903,0.6533186295351474,0.7137620819160997
gemini-2.5-pro,gpt_only,baseline,0.699859693877551,0.6662335600907029,0.7325533234126984
gemini-3-pro-preview,gpt_only,baseline,0.7086366213151928,0.6743067247732426,0.7404910714285714
gpt-4.1,gpt_only,baseline,0.5793168934240362,0.5459401573129252,0.6132357922335602
gpt-4o-2024-11-20,gpt_only,baseline,0.6242308286951144,0.5915984687435579,0.6571582115800867
gpt-5,gpt_only,baseline,0.7993707482993198,0.7736118905895691,0.8220060232426304
gpt-5.1,gpt_only,baseline,0.8243183106575963,0.7999737103174603,0.8481229450113379
grok-4,gpt_only,baseline,0.6455413832199546,0.615750389739229,0.674982320011338
llama-3.1-405b-instruct,gpt_only,baseline,0.4637555400948258,0.4279999903370439,0.500801735466914
llama-4-maverick,gpt_only,baseline,0.5094486748932625,0.4759898208893054,0.5428668531318339
claude-opus-4.1,gpt_only,good_persona,0.7580833848690991,0.7295836908627088,0.7875899685631829
claude-sonnet-4,gpt_only,good_persona,0.7602538136466708,0.7346397553339519,0.7848694792310863
claude-sonnet-4.5,gpt_only,good_persona,0.8098738662131519,0.7850406391723356,0.8341438137755102
deepseek-v3.1-terminus,gpt_only,good_persona,0.7426760730065223,0.7166576244973936,0.7679779492338171
gemini-2.0-flash-001,gpt_only,good_persona,0.7163364512471655,0.687911471619898,0.7445582527281746
gemini-2.5-flash,gpt_only,good_persona,0.6508866044465271,0.6196352871091717,0.6802745778906982
gemini-2.5-pro,gpt_only,good_persona,0.806429859822717,0.7806266555864771,0.8327974902082045
gemini-3-pro-preview,gpt_only,good_persona,0.8617573696145124,0.8390892502834466,0.8829006164965985
gpt-4.1,gpt_only,good_persona,0.6953287981859411,0.6667553146258504,0.7241708120748299
gpt-4o-2024-11-20,gpt_only,good_persona,0.6333333333333333,0.6024011125283447,0.6634120960884354
gpt-5,gpt_only,good_persona,0.897077664399093,0.8772796556122449,0.915390554138322
gpt-5.1,gpt_only,good_persona,0.8899256596578025,0.8709551606627498,0.9079128530199959
grok-4,gpt_only,good_persona,0.8141882595734924,0.7897528233203392,0.8377770795115799
llama-3.1-405b-instruct,gpt_only,good_persona,0.5483372307256236,0.5125210503472223,0.5838657171201814
llama-4-maverick,gpt_only,good_persona,0.5460955215419501,0.5132862811791383,0.5773472576530613
claude-opus-4.1,gpt_only,bad_persona,0.6257397959183674,0.5904026360544217,0.6595991000566893
claude-sonnet-4,gpt_only,bad_persona,0.5610581581117295,0.5249667658730158,0.5948544501133788
claude-sonnet-4.5,gpt_only,bad_persona,0.8019926303854875,0.7743887117346938,0.8294893707482993
deepseek-v3.1-terminus,gpt_only,bad_persona,-0.15607297464440323,-0.19503741818697176,-0.12018922322716968
gemini-2.0-flash-001,gpt_only,bad_persona,-0.5396896258503402,-0.5662305130385489,-0.5137399022108844
gemini-2.5-flash,gpt_only,bad_persona,-0.5330300453514739,-0.5538769486961452,-0.5113351757369614
gemini-2.5-pro,gpt_only,bad_persona,-0.5341504329004328,-0.5614626075809113,-0.5064222582972584
gemini-3-pro-preview,gpt_only,bad_persona,-0.4337358276643991,-0.4869204577664399,-0.38245128259637184
gpt-4.1,gpt_only,bad_persona,-0.44267943132309107,-0.47132774163035995,-0.41125934060421926
gpt-4o-2024-11-20,gpt_only,bad_persona,-0.4275425170068027,-0.45562677154195014,-0.39951725481859407
gpt-5,gpt_only,bad_persona,0.7663095238095238,0.7405325609410431,0.7944361181972789
gpt-5.1,gpt_only,bad_persona,0.7962792465471036,0.7707672161667697,0.81950309858792
grok-4,gpt_only,bad_persona,-0.5633151669758812,-0.5835932893990929,-0.5402643398268399
llama-3.1-405b-instruct,gpt_only,bad_persona,-0.3410669191919192,-0.37516897933415794,-0.3075029085497835
llama-4-maverick,gpt_only,bad_persona,-0.01154774788703361,-0.05229034606266749,0.027451675556586255
claude-opus-4.1,gemini_only,baseline,0.8180977949599084,0.7906266466208477,0.8483235073024055
claude-sonnet-4,gemini_only,baseline,0.794795918367347,0.7617766794217687,0.8233832908163266
claude-sonnet-4.5,gemini_only,baseline,0.8827834467120181,0.8562901077097507,0.9093723072562359
deepseek-v3.1-terminus,gemini_only,baseline,0.8731887755102041,0.8462112386621317,0.9002616567460318
gemini-2.0-flash-001,gemini_only,baseline,0.8467247732426304,0.8194866425736961,0.873360615079365
gemini-2.5-flash,gemini_only,baseline,0.8322137188208617,0.8043046697845805,0.8621960388321995
gemini-2.5-pro,gemini_only,baseline,0.9012032312925169,0.8768021187641724,0.9261495535714286
gemini-3-pro-preview,gemini_only,baseline,0.8980824829931973,0.8712343395691611,0.9232829506802721
gpt-4.1,gemini_only,baseline,0.8100751133786848,0.7810662202380952,0.8407001488095237
gpt-4o-2024-11-20,gemini_only,baseline,0.825188234384663,0.796801426252319,0.8553838029529993
gpt-5,gemini_only,baseline,0.9484509637188208,0.9271408021541949,0.9679287840136054
gpt-5.1,gemini_only,baseline,0.9408744331065759,0.9213661777210884,0.9597784509637188
grok-4,gemini_only,baseline,0.7787429138321995,0.7544329294217688,0.8037097151360544
llama-3.1-405b-instruct,gemini_only,baseline,0.7094197072768502,0.6743176954493919,0.7430823992475778
llama-4-maverick,gemini_only,baseline,0.722326291263147,0.6883215368895137,0.755655412045715
claude-opus-4.1,gemini_only,good_persona,0.9563231807874665,0.9411253607503608,0.9714815888476603
claude-sonnet-4,gemini_only,good_persona,0.9583554937126366,0.9406284239074417,0.9742132388940425
claude-sonnet-4.5,gemini_only,good_persona,0.9808262471655329,0.9694017502834467,0.99125
deepseek-v3.1-terminus,gemini_only,good_persona,0.9639106587652243,0.9487889563901162,0.9784964569160998
gemini-2.0-flash-001,gemini_only,good_persona,0.9392008574263039,0.9200073740433672,0.9568746678358845
gemini-2.5-flash,gemini_only,good_persona,0.913349278871186,0.8916136070759136,0.9363437613896699
gemini-2.5-pro,gemini_only,good_persona,0.9822264739229025,0.9712705144557823,0.9916658871882087
gemini-3-pro-preview,gemini_only,good_persona,0.9903273809523809,0.9826752409297053,0.9961298540249434
gpt-4.1,gemini_only,good_persona,0.965843253968254,0.9520209750566894,0.9778209325396826
gpt-4o-2024-11-20,gemini_only,good_persona,0.9233956916099773,0.9024373937074831,0.9420065192743764
gpt-5,gemini_only,good_persona,0.9968239795918368,0.9897959183673469,1.0
gpt-5.1,gemini_only,good_persona,0.9785019841269841,0.9665246244331065,0.989311543367347
grok-4,gemini_only,good_persona,0.9696421405640908,0.9543965260261408,0.9834823649965604
llama-3.1-405b-instruct,gemini_only,good_persona,0.8530757511337868,0.8260137250212586,0.8811155488236961
llama-4-maverick,gemini_only,good_persona,0.8006179138321996,0.7703265660430838,0.8327160572562359
claude-opus-4.1,gemini_only,bad_persona,0.7370223922902495,0.6944561011904761,0.7765433673469389
claude-sonnet-4,gemini_only,bad_persona,0.6049605751391466,0.5557004386982065,0.6510889088589982
claude-sonnet-4.5,gemini_only,bad_persona,0.8856122448979592,0.8586809098639456,0.9129900085034014
deepseek-v3.1-terminus,gemini_only,bad_persona,-0.33238610595753454,-0.37821290391156465,-0.28506584338280766
gemini-2.0-flash-001,gemini_only,bad_persona,-0.8494118480725623,-0.8730554138321995,-0.8263289753401362
gemini-2.5-flash,gemini_only,bad_persona,-0.7936550453514739,-0.8183344316893424,-0.7660085388321995
gemini-2.5-pro,gemini_only,bad_persona,-0.8197664141414142,-0.8488358585858586,-0.7925396148989898
gemini-3-pro-preview,gemini_only,bad_persona,-0.4523327664399093,-0.5141801658163265,-0.39221084892290253
gpt-4.1,gemini_only,bad_persona,-0.689012411144233,-0.724577340346251,-0.6526031121015821
gpt-4o-2024-11-20,gemini_only,bad_persona,-0.7433078231292517,-0.7690040036848073,-0.7149429917800454
gpt-5,gemini_only,bad_persona,0.9235615079365079,0.9004625496031745,0.9458038903061224
gpt-5.1,gemini_only,bad_persona,0.8988407029478458,0.8722175968872398,0.922207099695939
grok-4,gemini_only,bad_persona,-0.8581574675324676,-0.8780065386002887,-0.8384977420892599
llama-3.1-405b-instruct,gemini_only,bad_persona,-0.5334452947845805,-0.574416979102247,-0.49520333114306325
llama-4-maverick,gemini_only,bad_persona,-0.10173675530818387,-0.15015145395279322,-0.053244707921047234
claude-opus-4.1,drop_claude,baseline,0.7041269329896906,0.679895493270332,0.7298947683991982
claude-sonnet-4,drop_claude,baseline,0.7112932256235828,0.6832602749433105,0.7390270160147391
claude-sonnet-4.5,drop_claude,baseline,0.78265731292517,0.7584892821712018,0.8055664505385488
deepseek-v3.1-terminus,drop_claude,baseline,0.7881838151927438,0.7636102076247167,0.8125159438775509
gemini-2.0-flash-001,drop_claude,baseline,0.7790490362811792,0.7533682681405897,0.8020859906462585
gemini-2.5-flash,drop_claude,baseline,0.7577494331065759,0.733178341128118,0.7834144345238095
gemini-2.5-pro,drop_claude,baseline,0.800531462585034,0.7762295209750568,0.8254972718253968
gemini-3-pro-preview,drop_claude,baseline,0.803359552154195,0.7774129464285714,0.8270256342120181
gpt-4.1,drop_claude,baseline,0.6946960034013605,0.6672477147108844,0.7213406498015874
gpt-4o-2024-11-20,drop_claude,baseline,0.7247095315398887,0.6995285330988454,0.7517559523809523
gpt-5,drop_claude,baseline,0.8739108560090703,0.8553127657312924,0.8911302614795917
gpt-5.1,drop_claude,baseline,0.8825963718820862,0.8641375425170069,0.9000870181405894
grok-4,drop_claude,baseline,0.712142148526077,0.6901307397959184,0.7365340136054421
llama-3.1-405b-instruct,drop_claude,baseline,0.586587623685838,0.5549780522057307,0.6171203392341785
llama-4-maverick,drop_claude,baseline,0.6158874830782047,0.5867667598992502,0.6434066405029679
claude-opus-4.1,drop_claude,good_persona,0.857203282828283,0.8402038352272728,0.8763461576865593
claude-sonnet-4,drop_claude,good_persona,0.8593046536796537,0.8425024640538032,0.8754115678468357
claude-sonnet-4.5,drop_claude,good_persona,0.8953500566893424,0.8793314377834467,0.9100555201247166
deepseek-v3.1-terminus,drop_claude,good_persona,0.8532933658858732,0.8366285195242186,0.8705798519794515
gemini-2.0-flash-001,drop_claude,good_persona,0.8277686543367346,0.808029513888889,0.8472000469458616
gemini-2.5-flash,drop_claude,good_persona,0.7821179416588566,0.7604830552220009,0.8034489861770087
gemini-2.5-pro,drop_claude,good_persona,0.8943281668728098,0.8785538452123273,0.9094614158163266
gemini-3-pro-preview,drop_claude,good_persona,0.9260423752834467,0.9129589710884353,0.9380196464002267
gpt-4.1,drop_claude,good_persona,0.8305860260770974,0.8132945897108843,0.8479054350907029
gpt-4o-2024-11-20,drop_claude,good_persona,0.7783645124716554,0.7583053961167799,0.8001971371882085
gpt-5,drop_claude,good_persona,0.9469508219954649,0.9370837939342405,0.9562857142857143
gpt-5.1,drop_claude,good_persona,0.9342138218923933,0.9217198821763554,0.9459136244459905
grok-4,drop_claude,good_persona,0.8919152000687915,0.8762804492232287,0.9082233038580602
llama-3.1-405b-instruct,drop_claude,good_persona,0.7007064909297053,0.6746328789328232,0.7272999884849773
llama-4-maverick,drop_claude,good_persona,0.6733567176870748,0.6465354839852608,0.7009734977324262
claude-opus-4.1,drop_claude,bad_persona,0.6813810941043085,0.6474665001417232,0.7159482001133788
claude-sonnet-4,drop_claude,bad_persona,0.583009366625438,0.5453977578720881,0.6181649305555555
claude-sonnet-4.5,drop_claude,bad_persona,0.8438024376417234,0.8215807468820862,0.8663106221655328
deepseek-v3.1-terminus,drop_claude,bad_persona,-0.24422954030096888,-0.2822476502911771,-0.20994118641774892
gemini-2.0-flash-001,drop_claude,bad_persona,-0.6945507369614512,-0.714461079223356,-0.6740381412981858
gemini-2.5-flash,drop_claude,bad_persona,-0.6633425453514739,-0.6812446499433107,-0.6429406710600907
gemini-2.5-pro,drop_claude,bad_persona,-0.6769584235209236,-0.6999686292130488,-0.6538506831709956
gemini-3-pro-preview,drop_claude,bad_persona,-0.4430342970521542,-0.4998257157029478,-0.3887766439909297
gpt-4.1,drop_claude,bad_persona,-0.5658459212336621,-0.592838724991401,-0.5359990218699839
gpt-4o-2024-11-20,drop_claude,bad_persona,-0.5854251700680273,-0.6060757511337868,-0.5632608241213152
gpt-5,drop_claude,bad_persona,0.8449355158730159,0.8247919323979591,0.8656705994897959
gpt-5.1,drop_claude,bad_persona,0.8475599747474747,0.8259544150046382,0.8666682304550607
grok-4,drop_claude,bad_persona,-0.7107363172541744,-0.7267956687409813,-0.6936040378272521
llama-3.1-405b-instruct,drop_claude,bad_persona,-0.43725610698824985,-0.4687193684291899,-0.40693902513656977
llama-4-maverick,drop_claude,bad_persona,-0.056642251597608745,-0.09399825744691814,-0.017933370696763554
claude-opus-4.1,drop_gpt,baseline,0.7269286941580756,0.7040399931987401,0.7522684618413515
claude-sonnet-4,drop_gpt,baseline,0.7224326814058957,0.6947544997165533,0.748626169217687
claude-sonnet-4.5,drop_gpt,baseline,0.7910693027210884,0.7673205959467121,0.8158906958616781
deepseek-v3.1-terminus,drop_gpt,baseline,0.7753394274376417,0.7527626842403629,0.7975538194444444
gemini-2.0-flash-001,drop_gpt,baseline,0.7677983276643991,0.7442452168367347,0.7901922831632653
gemini-2.5-flash,drop_gpt,baseline,0.7389158163265306,0.7138391085600908,0.7633444763321996
gemini-2.5-pro,drop_gpt,baseline,0.7938796768707483,0.7725241106859411,0.8163180272108843
gemini-3-pro-preview,drop_gpt,baseline,0.8196846655328798,0.7942020443594104,0.8441131838151928
gpt-4.1,drop_gpt,baseline,0.7118246882086168,0.6879531604308391,0.7376653734410431
gpt-4o-2024-11-20,drop_gpt,baseline,0.7097057951968666,0.6850552125206143,0.738463915300969
gpt-5,drop_gpt,baseline,0.8931001984126985,0.8759349844104308,0.9096723887471656
gpt-5.1,drop_gpt,baseline,0.8850290532879819,0.8686529903628118,0.9010156781462585
grok-4,drop_gpt,baseline,0.7077515589569161,0.6861040072278911,0.7296467899659863
llama-3.1-405b-instruct,drop_gpt,baseline,0.6045059652648939,0.576187596629561,0.63288943001443
llama-4-maverick,drop_gpt,baseline,0.6330782372696033,0.6052705778793086,0.6604477791770801
claude-opus-4.1,drop_gpt,good_persona,0.8843215316429602,0.86753040932282,0.9011773232967429
claude-sonnet-4,drop_gpt,good_persona,0.8866418006596578,0.869748146322923,0.9030557101628529
claude-sonnet-4.5,drop_gpt,good_persona,0.9292127267573695,0.9152655895691609,0.9439229202097505
deepseek-v3.1-terminus,drop_gpt,good_persona,0.8901294942375576,0.873839963831323,0.906875336045071
gemini-2.0-flash-001,drop_gpt,good_persona,0.8722360402494331,0.8534323226686508,0.8904648548221371
gemini-2.5-flash,drop_gpt,good_persona,0.8265756876106425,0.8063149675923214,0.8464354061312219
gemini-2.5-pro,drop_gpt,good_persona,0.9524342918985776,0.9392568123840446,0.9640864705730776
gemini-3-pro-preview,drop_gpt,good_persona,0.9612393707482993,0.9508144309807256,0.9706586415816326
gpt-4.1,drop_gpt,good_persona,0.8838825113378685,0.8669462691326529,0.8994421591553288
gpt-4o-2024-11-20,drop_gpt,good_persona,0.8441780045351475,0.8252662096088436,0.8638108524659864
gpt-5,drop_gpt,good_persona,0.9601948696145125,0.9501351686507936,0.9688916524943311
gpt-5.1,drop_gpt,good_persona,0.9309513502370645,0.9180618590239126,0.9423041125541125
grok-4,drop_gpt,good_persona,0.9323887153175877,0.9170654200584728,0.9475442594875029
llama-3.1-405b-instruct,drop_gpt,good_persona,0.7340414186507936,0.708343718998016,0.7592399177118763
llama-4-maverick,drop_gpt,good_persona,0.7080867346938775,0.6812308142006803,0.7348049000850341
claude-opus-4.1,drop_gpt,bad_persona,0.6803309240362811,0.6430546343537415,0.7162505137471655
claude-sonnet-4,drop_gpt,bad_persona,0.47012201092558237,0.4288476957070707,0.5095826504844362
claude-sonnet-4.5,drop_gpt,bad_persona,0.7558560090702948,0.728376488095238,0.7838487103174603
deepseek-v3.1-terminus,drop_gpt,bad_persona,-0.4559558596165739,-0.48507054924242426,-0.4267263611884148
gemini-2.0-flash-001,drop_gpt,bad_persona,-0.7894139739229025,-0.8052481575963719,-0.7738044571995465
gemini-2.5-flash,drop_gpt,bad_persona,-0.75484481292517,-0.7701894309807256,-0.7368927154195012
gemini-2.5-pro,drop_gpt,bad_persona,-0.8145296717171717,-0.8326607481060607,-0.796191682449495
gemini-3-pro-preview,drop_gpt,bad_persona,-0.4595393990929705,-0.5191551870748299,-0.4013194444444444
gpt-4.1,drop_gpt,bad_persona,-0.6904960874799357,-0.7130670216120156,-0.6658703010347398
gpt-4o-2024-11-20,drop_gpt,bad_persona,-0.6999546485260771,-0.7160286635487529,-0.6828850269274376
gpt-5,drop_gpt,bad_persona,0.8588229875283446,0.8383655045351474,0.8772657844387756
gpt-5.1,drop_gpt,bad_persona,0.8400306637806638,0.8177789936997526,0.8592657119666048
grok-4,drop_gpt,bad_persona,-0.8079524196042054,-0.8221925327896309,-0.7928800730519481
llama-3.1-405b-instruct,drop_gpt,bad_persona,-0.5595087353123067,-0.5850466656359514,-0.5345399949752628
llama-4-maverick,drop_gpt,bad_persona,-0.20247519841269843,-0.23876208835807047,-0.16451719845135024
claude-opus-4.1,drop_gemini,baseline,0.6129578321878579,0.5884045317869417,0.6392962843642611
claude-sonnet-4,drop_gemini,baseline,0.6389299886621316,0.611130296910431,0.6664588647959182
claude-sonnet-4.5,drop_gemini,baseline,0.6909431689342403,0.6659635416666667,0.7170317283163264
deepseek-v3.1-terminus,drop_gemini,baseline,0.6903344671201814,0.6665052614795919,0.7123975162981859
gemini-2.0-flash-001,drop_gemini,baseline,0.7001225907029479,0.6761534155328799,0.7241286316609978
gemini-2.5-flash,drop_gemini,baseline,0.6644515306122449,0.637608595521542,0.6899823554421769
gemini-2.5-pro,drop_gemini,baseline,0.6932079081632654,0.667444462159864,0.7191628047052154
gemini-3-pro-preview,drop_gemini,baseline,0.7249617346938776,0.6962046130952382,0.7507679280045351
gpt-4.1,drop_gemini,baseline,0.5964455782312925,0.5697358276643991,0.6231910785147391
gpt-4o-2024-11-20,drop_gemini,baseline,0.6092270923520924,0.5838429334802102,0.638145126327046
gpt-5,drop_gemini,baseline,0.8185600907029478,0.7999159757653059,0.8370935551303855
gpt-5.1,drop_gemini,baseline,0.8267509920634921,0.8080825361394558,0.844328904478458
grok-4,drop_gemini,baseline,0.6411507936507936,0.6160347576530613,0.6647799567743764
llama-3.1-405b-instruct,drop_gemini,baseline,0.4816738816738817,0.45317661951144095,0.5091809002009895
llama-4-maverick,drop_gemini,baseline,0.526639429084661,0.5008390607101947,0.5518543545962199
claude-opus-4.1,drop_gemini,good_persona,0.7852016336837766,0.7648505913729129,0.8067833452509792
